,date,ticker,assets,book_equity,shares_rep,shares_outstanding,adj_close
6895,2019-12-31,PRI,13688531000.0,1652491000.0,-44137000.0,41210000.0,128.89505004882812
6896,2020-11-30,AEHR,17111000.0,10792000.0,,23490000.0,
6897,2020-08-31,AEHR,18691000.0,12321000.0,,23290000.0,1.7799999713897705
6898,2020-05-31,AEHR,20574000.0,14077000.0,-10000.0,23110000.0,
6899,2020-02-29,AEHR,21688000.0,16575000.0,-10000.0,23020000.0,
6900,2020-08-31,KBH,5177427000.0,2565308000.0,-3284000.0,97860000.0,35.58349227905273
6901,2020-05-31,KBH,5042002000.0,2490354000.0,-3284000.0,97840000.0,
6902,2020-02-29,KBH,5052834000.0,2443104000.0,-6219000.0,97770000.0,
6903,2020-09-26,VMI,2923910000.0,1162439000.0,-7597000.0,21540000.0,
6904,2019-12-28,VMI,2763411000.0,1111484000.0,-19276000.0,21540000.0,
6905,2020-09-30,SYNL,224715000.0,88193000.0,,9109000.0,5.519999980926514
6906,2020-06-30,SYNL,251424000.0,98057000.0,,9058000.0,7.480000019073486
6907,2020-03-31,SYNL,262504000.0,104584000.0,-635000.0,9058000.0,8.729999542236326
6908,2019-12-31,SYNL,257197000.0,106511000.0,-635000.0,9042000.0,12.90999984741211
6909,2020-09-30,BBDC,1222566609.0,525976941.0,,47960000.0,8.0
6910,2020-06-30,BBDC,1065126369.0,490473194.0,-2346542.0,47960000.0,7.786198616027832
6911,2020-03-31,BBDC,1096942967.0,445744908.0,-4784090.0,48290000.0,7.195559024810791
6912,2019-12-31,BBDC,1252634838.0,570874709.0,-4812301.0,48950000.0,9.718948364257812
6913,2020-09-30,YNDX,517032000000.0,321238000000.0,,352270000.0,65.25
6914,2020-06-30,YNDX,444866000000.0,277522000000.0,-1719000000.0,350070000.0,50.02000045776367
6915,2020-03-31,YNDX,390948000000.0,209458000000.0,-8446000000.0,327680000.0,34.049999237060554
6916,2019-12-31,YNDX,291126000000.0,194928000000.0,-1422000000.0,329860000.0,43.4900016784668
6917,2020-09-30,WBT,2150800000.0,233000000.0,,141510000.0,6.1599998474121085
6918,2020-06-30,WBT,2144200000.0,215100000.0,,141510000.0,6.090000152587892
6919,2020-03-31,WBT,2185000000.0,213000000.0,-700000.0,141490000.0,5.130000114440918
6920,2019-12-31,WBT,2165300000.0,253000000.0,-200000.0,141210000.0,15.609999656677244
6921,2020-09-30,RNET,199482000.0,7105000.0,-4000.0,20560000.0,4.099999904632568
6922,2020-06-30,RNET,218033000.0,12105000.0,-16000.0,20550000.0,2.150000095367432
6923,2020-03-31,RNET,217594000.0,16001000.0,-578000.0,20450000.0,1.7999999523162842
6924,2019-12-31,RNET,250980000.0,46723000.0,-11000.0,19980000.0,6.599999904632568
6925,2020-09-26,HSIC,7809895000.0,3155273000.0,-294000.0,142460000.0,
6926,2020-06-27,HSIC,7318125000.0,2991087000.0,-558000.0,142440000.0,
6927,2020-03-28,HSIC,7519200000.0,2974577000.0,-86944000.0,142430000.0,
6928,2019-12-28,HSIC,7151101000.0,2998044000.0,-200063000.0,143350000.0,
6929,2020-10-31,ODC,227371000.0,150525000.0,-978000.0,7466000.0,
6930,2020-07-31,ODC,235882000.0,148138000.0,-921000.0,7460000.0,34.272537231445305
6931,2020-04-30,ODC,215981000.0,146824000.0,-4097000.0,7484000.0,36.5805892944336
6932,2020-01-31,ODC,209079000.0,147100000.0,-23000.0,7612000.0,34.39174270629883
6933,2020-10-03,ULH,1056866000.0,227628000.0,,26920000.0,
6934,2020-07-04,ULH,963425000.0,216550000.0,-81000.0,26920000.0,
6935,2020-04-04,ULH,1008455000.0,208663000.0,-4919000.0,26930000.0,
6936,2019-12-31,ULH,987997000.0,205217000.0,-4919000.0,27280000.0,18.835418701171875
6937,2020-09-30,MOFG,5330708000.0,499081000.0,,16100000.000000002,17.8700008392334
6938,2020-06-30,MOFG,5230963000.0,520781000.0,-12000.0,16100000.000000002,19.774242401123047
6939,2020-03-31,MOFG,4763909000.0,500564000.0,-2731000.0,16090000.0,20.473243713378906
6940,2019-12-31,MOFG,4653573000.0,508982000.0,-582000.0,16160000.0,35.162052154541016
6941,2020-09-27,ILMN,7404000000.0,4700000000.0,-128000000.0,146000000.0,
6942,2020-06-28,ILMN,7248000000.0,4563000000.0,-145000000.0,146000000.0,
6943,2020-03-29,ILMN,7261000000.0,4635000000.0,-223000000.0,147000000.0,
6944,2019-12-29,ILMN,7316000000.0,4613000000.0,-115000000.0,147000000.0,
6945,2020-09-30,CSII,341723000.0,268405000.0,-3410000.0,40130000.0,39.349998474121094
6946,2020-06-30,CSII,339519000.0,268792000.0,-57000.0,39680000.0,31.54999923706055
6947,2020-03-31,CSII,220078000.0,143176000.0,-361000.0,35270000.0,35.209999084472656
6948,2019-12-31,CSII,224192000.0,143305000.0,-379000.0,35250000.0,48.59000015258789
6949,2020-09-30,EFX,9249800000.0,2929000000.0,,121600000.0,156.89999389648438
6950,2020-06-30,EFX,8832800000.0,2694100000.0,,121500000.0,171.45928955078125
6951,2020-03-31,EFX,7622800000.0,2386500000.0,,121400000.0,118.84678649902344
6952,2019-12-31,EFX,7909000000.0,2578600000.0,-800000.0,121200000.0,139.05201721191406
6953,2020-09-30,CLBK,8865473000.0,1017330000.0,-6925000.0,114420000.0,11.100000381469727
6954,2020-06-30,CLBK,8963192000.0,1040988000.0,-13001000.0,115070000.0,13.954999923706055
6955,2020-03-31,CLBK,8325051000.0,961126000.0,-40376000.0,111210000.0,14.399999618530273
6956,2019-12-31,CLBK,8188694000.0,982517000.0,-13961000.0,113770000.0,16.940000534057614
6957,2020-09-30,DLHC,183562000.0,53437000.0,,12400000.0,7.25
6958,2020-06-30,DLHC,151440000.0,51703000.0,,12350000.0,7.3400001525878915
6959,2020-03-31,DLHC,159424000.0,49397000.0,-5000.0,12350000.0,4.2100000381469735
6960,2019-12-31,DLHC,154140000.0,47144000.0,-206000.0,12100000.0,4.190000057220459
6961,2020-09-30,OMAB,17979618000.0,10420412000.0,,48760000.0,36.7599983215332
6962,2020-03-31,OMAB,18199090000.0,10530613000.0,-150000000.0,48910000.0,26.940000534057607
6963,2019-12-31,OMAB,17276961000.0,9715110000.0,-33982000.0,48910000.0,59.93999862670898
6964,2020-09-30,PEBO,4911807000.0,566856000.0,-5066000.0,19670000.0,18.800004959106445
6965,2020-06-30,PEBO,4985819000.0,569177000.0,-9948000.0,19870000.0,20.61051368713379
6966,2020-03-31,PEBO,4469120000.0,583721000.0,-11038000.0,20300000.0,21.15309715270996
6967,2019-12-31,PEBO,4354165000.0,594393000.0,-429000.0,20650000.0,32.76601791381836
6968,2020-09-30,SITM,127697000.0,102823000.0,,16940000.0,84.02999877929688
6969,2020-06-30,SITM,155476000.0,99569000.0,-1707000.0,16719999.999999998,47.40999984741211
6970,2020-09-30,GLUU,636513000.0,390371000.0,-723000.0,171920000.0,7.679999828338622
6971,2020-06-30,GLUU,631961000.0,364974000.0,-1740000.0,170710000.0,9.270000457763672
6972,2020-03-31,GLUU,417951000.0,210540000.0,-1720000.0,151580000.0,6.289999961853027
6973,2019-12-31,GLUU,418049000.0,203087000.0,-771000.0,147780000.0,6.050000190734862
6974,2020-09-30,CPG,6864200000.0,2911900000.0,,529730000.0,1.2200000286102295
6975,2020-06-30,CPG,7022800000.0,2929800000.0,,529300000.0,1.6276546716690063
6976,2020-03-31,CPG,7209700000.0,3112100000.0,-12700000.0,528960000.00000006,0.7679656744003296
6977,2019-12-31,CPG,10091800000.0,5342700000.0,-83200000.0,529400000.0,4.428749084472656
6978,2020-10-03,QRVO,7824422000.0,4407166000.0,-133528000.0,114110000.0,
6979,2020-06-27,QRVO,6882686000.0,4351245000.0,-82874000.0,114350000.0,
6980,2020-03-28,QRVO,6560682000.0,4292665000.0,-125792000.0,114620000.0,
6981,2019-12-28,QRVO,6519503000.0,4339377000.0,-125480000.0,115740000.0,
6982,2020-09-30,MCD,50699300000.0,-8472100000.0,-700000.0,745110000.0,219.4900054931641
6983,2020-06-30,MCD,49938900000.0,-9463100000.0,-2300000.0,744100000.0,183.3970489501953
6984,2020-03-31,MCD,50568000000.0,-9293400000.0,-902600000.0,743560000.0,163.2994842529297
6985,2019-12-31,MCD,47510800000.0,-8210300000.0,-1444900000.0,746300000.0,193.9457550048828
6986,2020-09-30,KEX,5981120000.0,3075263000.0,-2000.0,60040000.0,36.16999816894531
6987,2020-06-30,KEX,6017011000.0,3048880000.0,-26000.0,60040000.0,53.56000137329102
6988,2020-03-31,KEX,6137577000.0,3121482000.0,-3165000.0,60000000.0,43.47000122070313
6989,2019-12-31,KEX,6079097000.0,3368623000.0,-3165000.0,59960000.0,89.52999877929688
6990,2020-10-30,SCWX,1031457000.0,667149000.0,-304000.0,82240000.0,10.399999618530273
6991,2020-07-31,SCWX,1021726000.0,665567000.0,-167000.0,82190000.0,11.960000038146973
6992,2020-05-01,SCWX,1013929000.0,659518000.0,-4491000.0,82120000.0,11.050000190734863
6993,2020-01-31,SCWX,1048031000.0,666880000.0,-256000.0,81210000.0,15.729999542236328
6994,2020-09-30,GH,1262109000.0,1092204000.0,-2247000.0,99900000.0,111.77999877929688
6995,2020-06-30,GH,1277536000.0,1114589000.0,-2247000.0,99310000.0,81.12999725341797
6996,2020-03-31,GH,948167000.0,785113000.0,-2247000.0,94510000.0,69.59999847412111
6997,2019-12-31,GH,962535000.0,798393000.0,-2247000.0,94260000.0,78.13999938964844
6998,2020-09-30,NH,208979000.0,-92790000.0,,111210000.0,2.3399999141693115
6999,2020-06-30,NH,214508000.0,-82221000.0,-739000.0,110930000.0,4.579999923706055
7000,2020-03-31,NH,260959000.0,-33591000.0,-739000.0,110620000.0,1.5900000333786009
7001,2019-12-31,NH,266487000.0,-57136000.0,-739000.0,110620000.0,1.0299999713897705
7002,2020-10-31,SWBI,401085000.0,226878000.0,,55960000.0,
7003,2020-07-31,SWBI,658169000.0,437065000.0,-997000.0,55700000.0,18.30711936950684
7004,2020-04-30,SWBI,728961000.0,387118000.0,-3000.0,55360000.0,7.2569451332092285
7005,2020-01-31,SWBI,808147000.0,450499000.0,-44000.0,55070000.0,7.218629837036133
7006,2020-09-26,YETI,712572000.0,222633000.0,-323000.0,87060000.0,
7007,2020-06-27,YETI,627452000.0,169029000.0,-323000.0,87000000.0,
7008,2020-03-28,YETI,666769000.0,131647000.0,-704000.0,86900000.0,
7009,2019-12-28,YETI,629539000.0,122005000.0,-13516000.0,86770000.0,
7010,2020-09-30,ALKS,1876820000.0,1084358000.0,-201000.0,159110000.0,16.569999694824222
7011,2020-06-30,ALKS,1802337000.0,1061846000.0,-123000.0,159030000.0,19.40999984741211
7012,2020-03-31,ALKS,1825946000.0,1063018000.0,-7283000.0,158680000.0,14.420000076293945
7013,2019-12-31,ALKS,1805403000.0,1085442000.0,-87000.0,157780000.0,20.399999618530273
7014,2020-09-30,KLAC,9320096000.0,2747184000.0,-213042000.0,154610000.0,192.99249267578125
7015,2020-06-30,KLAC,9279960000.0,2665424000.0,-5527000.0,155460000.0,192.89920043945312
7016,2020-03-31,KLAC,8845946000.0,2307433000.0,-320953000.0,155050000.0,141.88600158691406
7017,2019-12-31,KLAC,9250720000.0,2669764000.0,-296830000.0,156850000.0,175.00770568847656
7018,2020-09-30,RWLK,26234000.0,16789000.0,,19160000.0,1.0800000429153442
7019,2020-06-30,RWLK,22706000.0,11899000.0,,14190000.0,1.7599999904632568
7020,2020-03-31,RWLK,25217000.0,13083000.0,,12930000.0,0.4320000112056732
7021,2019-12-31,RWLK,24372000.0,10780000.0,-90000.0,7320000.0,2.1600000858306885
7022,2020-09-30,SAVE,8557294000.0,2404103000.0,-43000.0,97670000.0,
7023,2020-06-30,SAVE,7767944000.0,2343162000.0,-18000.0,89210000.0,
7024,2020-03-31,SAVE,7235261000.0,2234391000.0,-1536000.0,68540000.0,
7025,2019-12-31,SAVE,7043412000.0,2261332000.0,-83000.0,68460000.0,
7026,2020-09-30,OFED,519756000.0,88928000.0,-31000.0,5604000.0,21.37745475769043
7027,2020-06-30,OFED,515582000.0,88305000.0,-1900000.0,5606000.0,25.563678741455078
7028,2020-03-31,OFED,502224000.0,89439000.0,-1110000.0,5676000.0,18.782299041748047
7029,2019-12-31,OFED,503207000.0,88856000.0,-131000.0,5719000.0,25.57304954528809
7030,2020-09-30,CEVA,301564000.0,256571000.0,,22230000.0,39.36999893188477
7031,2020-06-30,CEVA,296306000.0,252381000.0,,22040000.0,37.41999816894531
7032,2020-03-31,CEVA,295917000.0,249272000.0,-4780000.0,22000000.0,24.93000030517578
7033,2019-12-31,CEVA,297021000.0,251157000.0,-4252000.0,21840000.0,26.959999084472656
7034,2020-09-30,MNSB,1630188000.0,145734000.0,,8278000.000000001,12.239999771118164
7035,2020-06-30,MNSB,1528867000.0,140170000.0,,8263999.999999999,13.199999809265135
7036,2020-03-31,MNSB,1329742000.0,140295000.0,-990000.0,8260000.0,16.760000228881836
