,ticker,ebit_date,ebit,ass_tot_date,ass_tot,book_equ_date,book_equ,share_rep_date,share_rep
1,APAM,2020-06-30,76627000,2020-06-30,1001903000.0,2020-06-30,120907000.0,2020-06-30,
2,APAM,2020-03-31,70960000,2020-03-31,973994000.0,2020-03-31,105829000.0,2020-03-31,-67557000.0
3,APAM,2019-12-31,79317000,2019-12-31,933619000.0,2019-12-31,132957000.0,2019-12-31,-67557000.0
0,VRAY,2020-09-30,-25009000,2020-09-30,290087000.0,2020-09-30,151036000.0,2020-09-30,-622000.0
1,VRAY,2020-06-30,-25573000,2020-06-30,303178000.0,2020-06-30,174024000.0,2020-06-30,-622000.0
2,VRAY,2020-03-31,-30055000,2020-03-31,318743000.0,2020-03-31,194014000.0,2020-03-31,-132000.0
3,VRAY,2019-12-31,-29983000,2019-12-31,350019000.0,2019-12-31,216174000.0,2019-12-31,-132000.0
0,ZEUS,2020-09-30,-363000,2020-09-30,619303000.0,2020-09-30,298835000.0,2020-09-30,
1,ZEUS,2020-06-30,-7485000,2020-06-30,643135000.0,2020-06-30,299938000.0,2020-06-30,
2,ZEUS,2020-03-31,3051000,2020-03-31,677967000.0,2020-03-31,306392000.0,2020-03-31,-145000.0
3,ZEUS,2019-12-31,1015000,2019-12-31,649555000.0,2019-12-31,308352000.0,2019-12-31,-145000.0
0,ESXB,2020-09-30,0,2020-09-30,1622237000.0,2020-09-30,165790000.0,2020-09-30,
1,ESXB,2020-06-30,0,2020-06-30,1615004000.0,2020-06-30,160781000.0,2020-06-30,-72000.0
2,ESXB,2020-03-31,0,2020-03-31,1453540000.0,2020-03-31,155468000.0,2020-03-31,-806000.0
3,ESXB,2019-12-31,0,2019-12-31,1430840000.0,2019-12-31,155479000.0,2019-12-31,-806000.0
0,WEYS,2020-09-30,2515000,2020-09-30,256580000.0,2020-09-30,189295000.0,2020-09-30,
1,WEYS,2020-06-30,-13017000,2020-06-30,260337000.0,2020-06-30,196272000.0,2020-06-30,
2,WEYS,2020-03-31,1345000,2020-03-31,268782000.0,2020-03-31,205426000.0,2020-03-31,-1304000.0
3,WEYS,2019-12-31,11654000,2019-12-31,296917000.0,2019-12-31,209994000.0,2019-12-31,-1620000.0
0,WSBF,2020-09-30,0,2020-09-30,2220822000.0,2020-09-30,399429000.0,2020-09-30,-12326000.0
1,WSBF,2020-06-30,0,2020-06-30,2217573000.0,2020-06-30,385619000.0,2020-06-30,-6151000.0
2,WSBF,2020-03-31,0,2020-03-31,2056676000.0,2020-03-31,371826000.0,2020-03-31,-14245000.0
3,WSBF,2019-12-31,0,2019-12-31,1996347000.0,2019-12-31,393686000.0,2019-12-31,-40000.0
0,KOPN,2020-09-26,-1107715,2020-09-26,37659025.0,2020-09-26,23416681.0,2020-09-26,
1,KOPN,2020-06-27,-1095451,2020-06-27,37628373.0,2020-06-27,24160053.0,2020-06-27,
2,KOPN,2020-03-28,-3541082,2020-03-28,38436381.0,2020-03-28,25072949.0,2020-03-28,
3,KOPN,2019-12-28,-3556189,2019-12-28,43046515.0,2019-12-28,28608635.0,2019-12-28,-38387.0
0,FNHC,2020-09-30,-31613000,2020-09-30,1514808000.0,2020-09-30,201476000.0,2020-09-30,
1,FNHC,2020-06-30,-30830000,2020-06-30,1214786000.0,2020-06-30,221680000.0,2020-06-30,-3775000.0
2,FNHC,2020-03-31,4169000,2020-03-31,1177098000.0,2020-03-31,239174000.0,2020-03-31,-6643000.0
3,FNHC,2019-12-31,-5915000,2019-12-31,1179016000.0,2019-12-31,248693000.0,2019-12-31,-3449000.0
0,LB,2020-10-31,551000000,2020-10-31,11161000000.0,2020-10-31,-1568000000.0,2020-10-31,-2000000.0
1,LB,2020-08-01,206000000,2020-08-01,10880000000.0,2020-08-01,-1908000000.0,2020-08-01,-1000000.0
2,LB,2020-05-02,-221000000,2020-05-02,9439000000.0,2020-05-02,-1861000000.0,2020-05-02,-5000000.0
3,LB,2020-02-01,816000000,2020-02-01,10125000000.0,2020-02-01,-1499000000.0,2020-02-01,-1000000.0
0,LSF,2020-09-30,-3381830,2020-09-30,86742578.0,2020-09-30,82786157.0,2020-09-30,
1,LSF,2020-06-30,-2782503,2020-06-30,24678717.0,2020-06-30,6289923.0,2020-06-30,-10266.0
2,LSF,2020-03-31,-2400294,2020-03-31,,2020-03-31,8111345.0,2020-03-31,-10266.0
3,LSF,2019-09-30,-2410955,2019-09-30,,2019-09-30,,2019-09-30,-10266.0
0,PDEX,2020-09-30,1549000,2020-09-30,30797000.0,2020-09-30,20051000.0,2020-09-30,-259000.0
1,PDEX,2020-06-30,2197000,2020-06-30,31126000.0,2020-06-30,19062000.0,2020-06-30,-411000.0
2,PDEX,2020-03-31,1704000,2020-03-31,28228000.0,2020-03-31,17159000.0,2020-03-31,-762000.0
3,PDEX,2019-12-31,1668000,2019-12-31,28726000.0,2019-12-31,17872000.0,2019-12-31,-1534000.0
0,RRD,2020-09-30,69100000,2020-09-30,3427900000.0,2020-09-30,-468000000.0,2020-09-30,
1,RRD,2020-06-30,0,2020-06-30,3203500000.0,2020-06-30,-478500000.0,2020-06-30,
2,RRD,2020-03-31,52700000,2020-03-31,3437500000.0,2020-03-31,-429200000.0,2020-03-31,-600000.0
3,RRD,2019-12-31,107000000,2019-12-31,3330100000.0,2019-12-31,-383700000.0,2019-12-31,-200000.0
0,CDW,2020-09-30,326300000,2020-09-30,9223700000.0,2020-09-30,1238500000.0,2020-09-30,-200000.0
1,CDW,2020-06-30,283400000,2020-06-30,8749500000.0,2020-06-30,1055600000.0,2020-06-30,-200000.0
2,CDW,2020-03-31,245800000,2020-03-31,8222400000.0,2020-03-31,889700000.0,2020-03-31,-162700000.0
3,CDW,2019-12-31,283800000,2019-12-31,7999400000.0,2019-12-31,960300000.0,2019-12-31,-164000000.0
0,SLF,2020-09-30,958000000,2020-09-30,312888000000.0,2020-09-30,23605000000.0,2020-09-30,
1,SLF,2020-06-30,698000000,2020-06-30,308433000000.0,2020-06-30,23129000000.0,2020-06-30,
2,SLF,2020-03-31,790000000,2020-03-31,291190000000.0,2020-03-31,22985000000.0,2020-03-31,-200000000.0
3,SLF,2019-12-31,792000000,2019-12-31,297202000000.0,2019-12-31,22232000000.0,2019-12-31,-200000000.0
0,COHU,2020-09-26,4484000,2020-09-26,1046353000.0,2020-09-26,474609000.0,2020-09-26,-426000.0
1,COHU,2020-06-27,157000,2020-06-27,1066583000.0,2020-06-27,466758000.0,2020-06-27,-47000.0
2,COHU,2020-03-28,-7671000,2020-03-28,1072155000.0,2020-03-28,464884000.0,2020-03-28,-47000.0
3,COHU,2019-12-28,-8099000,2019-12-28,1077710000.0,2019-12-28,483072000.0,2019-12-28,-47000.0
0,FMS,2020-09-30,604371000,2020-09-30,33049135000.0,2020-09-30,11493111000.0,2020-09-30,
1,FMS,2020-06-30,647427000,2020-06-30,34189853000.0,2020-06-30,12125597000.0,2020-06-30,-149865000.0
2,FMS,2020-03-31,510389000,2020-03-31,34072427000.0,2020-03-31,11996428000.0,2020-03-31,-216123000.0
3,FMS,2019-12-31,641900000,2019-12-31,32934735000.0,2019-12-31,11957913000.0,2019-12-31,-135339000.0
0,TWST,2020-09-30,-23967000,2020-09-30,398882000.0,2020-09-30,336262000.0,2020-09-30,-773000.0
1,TWST,2020-06-30,-28196000,2020-06-30,408240000.0,2020-06-30,348946000.0,2020-06-30,-450000.0
2,TWST,2020-03-31,-32086000,2020-03-31,323872000.0,2020-03-31,264202000.0,2020-03-31,-390000.0
3,TWST,2019-12-31,-33330000,2019-12-31,192277000.0,2019-12-31,103081000.0,2019-12-31,-808000.0
0,MDLA,2020-10-31,-29545000,2020-10-31,1245675000.0,2020-10-31,510486000.0,2020-10-31,
