,endDate,totalAssets,ticker
625,2020-03-31,476853000.0,OFS
626,2019-12-31,538188000.0,OFS
627,2020-09-30,4200494000.0,GSX
628,2020-06-30,4889686000.0,GSX
629,2020-03-31,4187540000.0,GSX
630,2019-12-31,3394532000.0,GSX
631,2020-09-30,1654943000.0,VRM
632,2020-06-30,963207000.0,VRM
633,2020-03-31,547083000.0,VRM
634,2019-09-30,,VRM
635,2020-09-30,4093501000.0,KOS
636,2020-06-30,3986491000.0,KOS
637,2020-03-31,4183962000.0,KOS
638,2019-12-31,4317232000.0,KOS
639,2020-09-30,121020700.0,ACY
640,2020-06-30,123191500.0,ACY
641,2020-03-31,135922900.0,ACY
642,2019-12-31,149595800.0,ACY
643,2020-09-30,5499920000.0,NVR
644,2020-06-30,4730020000.0,NVR
645,2020-03-31,3887523000.0,NVR
646,2019-12-31,3809815000.0,NVR
647,2020-09-30,23837000000.0,IQV
648,2020-06-30,23183000000.0,IQV
649,2020-03-31,23078000000.0,IQV
650,2019-12-31,23251000000.0,IQV
651,2020-09-30,4326800000.0,ESI
652,2020-06-30,4218700000.0,ESI
653,2020-03-31,4563500000.0,ESI
654,2019-12-31,4324400000.0,ESI
655,2020-09-30,12106000.0,ARDS
656,2020-06-30,18115000.0,ARDS
657,2020-03-31,22007000.0,ARDS
658,2019-12-31,27967000.0,ARDS
659,2020-09-30,91457000.0,UROV
660,2020-06-30,78137000.0,UROV
661,2020-03-31,63295000.0,UROV
662,2019-12-31,147551000.0,UROV
663,2020-07-31,3302707000.0,VRNT
664,2020-04-30,3094708000.0,VRNT
665,2020-01-31,3016058000.0,VRNT
666,2019-10-31,2982447000.0,VRNT
667,2020-09-30,16552140000.0,WSBC
668,2020-06-30,16755395000.0,WSBC
669,2020-03-31,15995572000.0,WSBC
670,2019-12-31,15720112000.0,WSBC
671,2020-09-30,111762000.0,KLR
672,2020-06-30,114116000.0,KLR
673,2020-03-31,111441000.0,KLR
674,2019-12-31,117404000.0,KLR
675,2020-09-30,20623978000.0,EQR
676,2020-06-30,20714951000.0,EQR
677,2020-03-31,20919318000.0,EQR
678,2019-12-31,21172769000.0,EQR
679,2020-09-30,3844276000.0,AHT
680,2020-06-30,4344535000.0,AHT
681,2020-03-31,4566122000.0,AHT
682,2019-12-31,4691348000.0,AHT
683,2020-07-31,40894000.0,RFIL
684,2020-04-30,39412000.0,RFIL
685,2020-01-31,39832000.0,RFIL
686,2019-10-31,37700000.0,RFIL
687,2020-09-30,13039598000.0,VER
688,2020-06-30,13321182000.0,VER
689,2020-03-31,13772437000.0,VER
690,2019-12-31,13280680000.0,VER
691,2020-06-30,3373267000.0,FANH
692,2020-03-31,3370386000.0,FANH
693,2019-12-31,3440843000.0,FANH
694,2019-09-30,3744485000.0,FANH
695,2020-09-30,3381020000.0,MGLN
696,2020-06-30,3351203000.0,MGLN
697,2020-03-31,3224911000.0,MGLN
698,2019-12-31,3092173000.0,MGLN
699,2020-09-30,33571631.0,BIMI
